timestamp,frame,L_knee,R_knee,L_hip,R_hip
2026-05-25T19:48:02.119,1,177.64,178.21,175.57,174.76
2026-05-25T19:48:02.773,2,179.55,177.69,174.97,175.58
2026-05-25T19:48:02.881,3,179.94,177.2,173.75,177.82
2026-05-25T19:48:02.994,4,179.76,177.08,173.56,177.21
2026-05-25T19:48:03.112,5,179.55,176.93,173.12,177.73
2026-05-25T19:48:03.223,6,179.62,177.4,173.1,177.19
2026-05-25T19:48:03.333,7,179.99,177.69,172.64,176.79
2026-05-25T19:48:03.442,8,179.64,177.55,172.38,176.69
2026-05-25T19:48:03.538,9,179.43,177.16,172.3,176.57
2026-05-25T19:48:03.634,10,179.3,177.51,172.63,176.26
2026-05-25T19:48:03.730,11,179.47,177.49,172.74,175.95
2026-05-25T19:48:03.940,12,179.62,177.35,172.73,176.12
2026-05-25T19:48:04.226,13,179.82,177.84,172.5,175.64
2026-05-25T19:48:04.515,14,179.62,177.66,172.3,175.95
2026-05-25T19:48:04.667,15,179.85,177.3,172.45,176.19
2026-05-25T19:48:04.812,16,179.98,177.5,172.62,175.91
2026-05-25T19:48:04.948,17,179.71,178.16,173.28,175.58
2026-05-25T19:48:05.093,18,179.87,177.69,172.53,175.44
2026-05-25T19:48:05.234,19,179.48,177.71,172.69,175.44
2026-05-25T19:48:05.327,20,178.8,176.97,173.26,175.01
2026-05-25T19:48:05.408,21,179.53,177.71,173.21,175.03
2026-05-25T19:48:05.511,22,179.69,177.36,173.01,175.32
2026-05-25T19:48:05.597,23,179.9,177.75,172.64,175.33
2026-05-25T19:48:05.703,24,179.88,177.58,172.57,175.51
2026-05-25T19:48:05.827,25,179.66,177.49,172.35,175.0
2026-05-25T19:48:05.937,26,179.65,179.03,172.34,174.78
2026-05-25T19:48:06.097,27,179.59,178.83,172.65,174.8
2026-05-25T19:48:06.234,28,179.62,178.44,172.71,174.97
2026-05-25T19:48:06.439,29,179.71,177.94,172.41,175.28
2026-05-25T19:48:06.548,30,179.54,177.6,172.43,175.35
2026-05-25T19:48:06.655,31,179.81,178.66,173.67,175.64
2026-05-25T19:48:06.811,32,179.88,178.5,173.38,175.77
2026-05-25T19:48:06.922,33,178.49,178.18,176.33,172.43
2026-05-25T19:48:07.028,34,179.21,179.4,174.68,173.03
2026-05-25T19:48:07.161,35,178.48,177.85,172.21,171.88
2026-05-25T19:48:07.290,36,178.21,177.65,171.98,171.63
2026-05-25T19:48:07.392,37,178.8,178.01,171.22,174.11
2026-05-25T19:48:07.491,38,178.42,179.94,171.32,174.5
2026-05-25T19:48:07.590,39,178.17,179.41,173.59,173.79
2026-05-25T19:48:07.695,40,178.84,178.72,174.09,173.04
2026-05-25T19:48:07.789,41,179.73,179.42,174.14,172.63
2026-05-25T19:48:07.895,42,179.32,179.71,174.15,172.9
2026-05-25T19:48:08.005,43,179.24,179.75,173.93,174.2
2026-05-25T19:48:08.168,44,179.57,179.91,174.19,173.99
2026-05-25T19:48:08.263,45,179.8,179.4,174.48,174.11
2026-05-25T19:48:08.350,46,179.43,179.55,174.64,173.66
2026-05-25T19:48:08.441,47,179.91,179.76,174.03,174.02
2026-05-25T19:48:08.548,48,179.92,179.79,173.99,174.13
2026-05-25T19:48:08.650,49,179.52,179.52,172.95,174.39
2026-05-25T19:48:08.740,50,179.65,179.16,173.3,174.42
2026-05-25T19:48:08.840,51,179.87,178.32,173.27,175.14
2026-05-25T19:48:08.941,52,177.62,179.08,174.14,174.79
2026-05-25T19:48:09.035,53,175.65,177.12,175.96,173.69
2026-05-25T19:48:09.129,54,175.62,176.05,176.18,172.15
2026-05-25T19:48:09.230,55,176.05,177.54,176.05,172.55
2026-05-25T19:48:09.341,56,176.22,176.99,176.47,171.76
2026-05-25T19:48:09.448,57,178.16,177.78,175.36,171.98
2026-05-25T19:48:09.537,58,178.99,179.06,177.07,172.48
2026-05-25T19:48:09.631,59,179.33,179.23,178.26,173.27
2026-05-25T19:48:09.725,60,179.14,179.58,178.16,173.47
2026-05-25T19:48:09.866,61,179.16,179.86,178.13,173.38
2026-05-25T19:48:09.961,62,178.94,179.99,177.61,173.46
2026-05-25T19:48:10.076,63,178.61,179.66,177.57,173.4
2026-05-25T19:48:10.354,64,160.04,167.18,168.98,164.86
2026-05-25T19:48:10.448,65,171.32,175.58,175.69,169.79
